,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
318189,830,993.0,5.0,4.0,2018.0,2018-05-13,Spanish Grand Prix,5,5.0,3,3,3.0,15,66.0,1.0,Finished,62,4,5756845,01:19.4,210.999,33,6,0.0,1997,Dutch
318193,830,994.0,6.0,6.0,2018.0,2018-05-27,Monaco Grand Prix,20,20.0,9,9,9.0,2,78.0,1.0,Finished,60,1,6200124,01:14.3,161.772,35,6,0.0,1997,Dutch
318291,830,995.0,7.0,7.0,2018.0,2018-06-10,Canadian Grand Prix,3,3.0,3,3,3.0,15,68.0,1.0,Finished,65,1,5319737,01:13.9,212.547,50,6,0.0,1997,Dutch
318370,830,1000.0,12.0,11.0,2018.0,2018-07-29,Hungarian Grand Prix,7,7.0,,R,19.0,0,5.0,75.0,Mechanical,5,19,,01:24.0,187.79,105,6,1.0,1997,Dutch
318375,830,1001.0,13.0,13.0,2018.0,2018-08-26,Belgian Grand Prix,7,7.0,3,3,3.0,15,44.0,1.0,Finished,36,4,5045848,01:46.9,235.767,120,5,1.0,1997,Dutch
318433,830,1002.0,14.0,14.0,2018.0,2018-09-02,Italian Grand Prix,5,5.0,5,5,5.0,10,53.0,1.0,Finished,41,6,4632692,01:23.6,249.432,130,5,1.0,1997,Dutch
318467,822,1040.0,10.0,71.0,2020.0,2020-09-27,Russian Grand Prix,3,3.0,1,1,1.0,26,53.0,1.0,Finished,51,1,5640364,01:37.0,216.972,161,2,2.0,1989,Finnish
318553,20,1065.0,14.0,14.0,2021.0,2021-09-12,Italian Grand Prix,11,11.0,12,12,12.0,0,53.0,1.0,Finished,50,15,4938986,01:25.9,242.672,35,12,0.0,1987,German
318606,20,1066.0,15.0,71.0,2021.0,2021-09-26,Russian Grand Prix,11,10.0,12,12,12.0,0,52.0,11.0,+1 Lap,44,11,,01:39.3,212.116,35,12,0.0,1987,German
318655,20,1067.0,16.0,5.0,2021.0,2021-10-10,Turkish Grand Prix,11,10.0,18,18,18.0,0,57.0,11.0,+1 Lap,54,7,,01:32.7,207.233,35,12,0.0,1987,German
318698,20,1070.0,18.0,32.0,2021.0,2021-11-07,Mexico City Grand Prix,11,9.0,7,7,7.0,6,70.0,11.0,+1 Lap,70,6,,01:20.5,192.572,42,12,0.0,1987,German
318776,822,1047.0,17.0,24.0,2020.0,2020-12-13,Abu Dhabi Grand Prix,2,2.0,2,2,2.0,18,55.0,1.0,Finished,40,3,5804621,01:41.1,197.707,223,2,2.0,1989,Finnish
318834,822,1051.0,20.0,78.0,2021.0,2021-11-21,Qatar Grand Prix,3,6.0,,R,20.0,0,48.0,137.0,Mechanical,39,15,,01:27.2,221.992,203,3,1.0,1989,Finnish
318943,822,1054.0,3.0,75.0,2021.0,2021-05-02,Portuguese Grand Prix,1,1.0,3,3,3.0,16,66.0,1.0,Finished,65,1,5704951,01:19.9,209.738,32,4,0.0,1989,Finnish
319037,822,1057.0,6.0,73.0,2021.0,2021-06-06,Azerbaijan Grand Prix,10,10.0,12,12,12.0,0,51.0,1.0,Finished,43,12,8027674,01:45.7,204.521,47,6,0.0,1989,Finnish
319094,822,1058.0,8.0,70.0,2021.0,2021-06-27,Styrian Grand Prix,2,5.0,3,3,3.0,15,71.0,1.0,Finished,43,5,4985832,01:08.6,226.537,74,5,0.0,1989,Finnish
319122,822,1064.0,13.0,39.0,2021.0,2021-09-05,Dutch Grand Prix,3,3.0,3,3,3.0,15,72.0,1.0,Finished,69,2,5461855,01:12.5,211.338,123,3,0.0,1989,Finnish
319187,822,1065.0,14.0,14.0,2021.0,2021-09-12,Italian Grand Prix,1,19.0,3,3,3.0,15,53.0,1.0,Finished,34,2,4919286,01:24.8,245.85,141,3,0.0,1989,Finnish
319191,822,1066.0,15.0,71.0,2021.0,2021-09-26,Russian Grand Prix,7,16.0,5,5,5.0,10,53.0,1.0,Finished,31,3,5508534,01:38.2,214.352,151,3,0.0,1989,Finnish
319333,20,1076.0,3.0,1.0,2022.0,2022-04-10,Australian Grand Prix,18,17.0,,R,19.0,0,22.0,3.0,Accident,17,19,,01:25.2,223.042,0,21,0.0,1987,German
319386,20,1079.0,6.0,4.0,2022.0,2022-05-22,Spanish Grand Prix,16,16.0,11,11,11.0,0,65.0,11.0,+1 Lap,59,18,,01:27.6,192.059,4,14,0.0,1987,German
