driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
8,2001.0,9.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2002.0,24.0,77.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2003.0,91.0,851.0,1.0,1,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2004.0,45.0,696.0,1.0,1,2,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2005.0,112.0,1018.0,7.0,7,3,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2006.0,65.0,840.0,0.0,0,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007.0,110.0,982.0,6.0,6,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2008.0,75.0,1042.0,2.0,2,2,5,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2009.0,48.0,910.0,1.0,1,1,3,1,0,2,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012.0,207.0,1191.0,1.0,1,3,3,0,4,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013.0,183.0,929.0,1.0,1,6,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014.0,55.0,1076.0,0.0,0,0,0,1,0,1,3,2,2,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
