,driverId,raceId,lap,pit_ms
1062,1,859,16,21099
1063,3,859,16,20773
1064,22,859,16,21537
1065,20,859,17,20927
1066,814,859,17,20745
1067,813,859,17,21561
1068,5,859,17,22854
1069,17,859,18,20755
1070,811,859,18,14029
1071,67,859,19,22417
1072,815,859,20,22221
1073,816,859,20,21859
1074,817,859,20,23473
1075,13,859,21,21696
1076,155,859,21,25117
1077,153,859,21,22773
1078,24,859,21,22666
1079,10,859,21,22452
1080,15,859,22,22616
1081,811,859,28,23289
1082,808,859,30,23102
1083,18,859,31,21038
1084,16,859,31,20900
1085,5,859,31,22013
1086,1,859,33,20396
1087,30,859,32,20782
1088,22,859,34,22590
1089,4,859,35,20664
1090,17,859,38,20990
1091,20,859,39,20652
1092,814,859,40,21767
1093,3,859,42,20658
1094,67,859,42,22461
1095,816,859,41,23542
1096,817,859,41,22904
1097,15,859,42,21555
1098,155,859,43,21231
1099,1,859,44,20681
1100,815,859,44,21337
1101,13,859,45,21053
1102,16,859,45,21138
1103,808,859,45,21781
1104,24,859,45,22996
1105,153,859,48,21855
1106,811,859,48,22128
1107,5,859,49,21478
1108,18,859,52,21583
1109,30,859,51,21373
1110,4,859,54,20752
1111,22,859,53,21638
1112,17,859,58,20781
1113,20,859,59,22094
1114,811,860,1,24599
1115,817,860,1,32319
1116,13,860,11,22313
1117,3,860,12,23203
1118,4,860,13,22035
1119,155,860,13,25346
1120,814,860,13,24933
1121,17,860,14,23302
1122,5,860,14,24397
1123,18,860,16,23275
1124,20,860,16,24256
1125,813,860,16,23427
1126,1,860,17,22862
1127,808,860,18,24579
1128,8,860,19,24881
1129,818,860,19,23203
1130,10,860,20,26322
1131,819,860,21,25303
1132,817,860,22,23257
1133,815,860,24,23882
1134,13,860,28,22528
1135,811,860,30,23777
1136,3,860,31,23017
1137,814,860,33,24579
1138,4,860,34,21910
1139,5,860,34,24580
1140,18,860,36,22837
1141,1,860,36,23464
1142,155,860,36,24162
1143,819,860,35,48984
1144,20,860,37,24131
1145,17,860,37,22915
1146,813,860,37,23166
1147,8,860,37,23310
1148,818,860,37,23569
1149,10,860,36,25046
1150,13,860,37,22103
1151,5,860,37,28888
1152,817,860,38,24348
1153,811,860,47,30888
1154,819,860,51,17088
1155,815,861,1,25671
1156,811,861,1,31006
1157,814,861,2,23988
1158,13,861,3,24034
1159,10,861,3,25096
1160,819,861,3,29317
1161,18,861,4,24305
1162,4,861,4,24653
1163,807,861,4,23856
1164,817,861,4,25470
1165,808,861,4,24718
1166,5,861,4,32670
1167,1,861,5,24271
1168,17,861,5,24569
1169,20,861,5,25658
1170,3,861,5,25600
1171,813,861,5,25535
1172,8,861,5,27602
1173,155,861,5,28122
1174,30,861,5,24831
1175,811,861,7,26269
1176,18,861,13,25922
1177,3,861,13,25199
1178,8,861,13,24927
1179,155,861,13,26255
1180,37,861,13,15684
1181,808,861,13,29359
1182,10,861,13,25660
1183,811,861,13,24980
1184,1,861,14,27961
1185,4,861,14,22864
1186,17,861,14,26337
1187,13,861,14,24420
1188,814,861,14,22856
1189,813,861,14,21621
1190,30,861,14,24094
1191,817,861,14,24539
1192,5,861,14,25130
1193,815,861,15,24520
1194,20,861,15,24057
1195,818,861,15,24216
1196,807,861,15,23549
1197,819,861,15,36542
1198,39,861,15,36876
1199,18,861,15,36517
1200,813,861,15,23974
1201,37,861,16,38887
1202,5,861,23,34109
1203,18,861,24,23509
1204,817,861,25,22610
1205,3,861,26,23050
1206,13,861,27,23130
1207,817,861,37,23648
1208,39,861,37,27700
1209,13,861,38,26934
1210,5,861,38,23782
1211,17,861,39,23195
1212,814,861,39,22175
1213,811,861,39,23824
1214,30,861,39,22163
1215,813,861,39,23409
1216,3,861,39,23231
1217,18,861,39,23477
1218,808,861,39,30335
1219,10,861,39,25390
1220,4,861,40,22534
1221,819,861,39,32224
1222,20,861,40,22998
1223,8,861,40,25041
1224,818,861,40,23343
1225,807,861,40,23358
1226,155,861,40,23662
1227,37,861,39,28483
1228,815,861,41,24543
1229,1,861,41,26338
1230,20,861,47,25884
1231,4,862,27,20136
1232,8,862,28,21494
1233,818,862,28,23623
1234,5,862,28,22606
1235,811,862,29,21323
1236,808,862,29,22007
1237,807,862,30,21027
1238,5,862,29,37748
1239,20,862,31,21146
1240,154,862,32,25835
1241,37,862,31,23488
