"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
73,234,19,"11","11",11,"0",44,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
83,234,18,"12","12",12,"0",43,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
77,234,2,"13","13",13,"0",42,NULL,NULL,NULL,NULL,NULL,5,"Mechanical"
57,235,7,"4","4",4,"3",76,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
13,30,2,"1","1",1,"10",44,"26","3","4979394","01:48.2","232.987",1,"Finished"
2,30,5,"2","2",2,"8",44,"36","7","4988777","01:49.1","231.182",1,"Finished"
1,30,1,"3","3",3,"6",44,"20","2","4989933","01:48.1","233.175",1,"Finished"
4,30,6,"4","4",4,"5",44,"25","9","4993872","01:49.2","230.82",1,"Finished"
20,30,10,"5","5",5,"4",44,"16","8","4993970","01:49.1","231.142",1,"Finished"
9,30,8,"6","6",6,"3",44,"36","5","4994431","01:49.0","231.399",1,"Finished"
7,30,9,"7","7",7,"2",44,"31","6","4996129","01:49.0","231.32",1,"Finished"
17,30,7,"8","8",8,"1",44,"34","10","5022170","01:49.5","230.236",1,"Finished"
10,30,13,"9","9",9,"0",44,"37","12","5046439","01:50.3","228.691",1,"Finished"
44,235,11,"5","5",5,"2",76,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
65,239,13,"10","10",10,"0",52,NULL,NULL,"5655590",NULL,NULL,1,"Finished"
30,240,2,"1","1",1,"10",71,NULL,NULL,"5914154",NULL,NULL,1,"Finished"
14,240,3,"2","2",2,"6",71,NULL,NULL,"5925214",NULL,NULL,1,"Finished"
71,241,2,"1","1",1,"10",72,NULL,NULL,"6794532",NULL,NULL,1,"Finished"
55,241,6,"2","2",2,"6",72,NULL,NULL,"6800939",NULL,NULL,1,"Finished"
30,241,3,"3","3",3,"4",72,NULL,NULL,"6827908",NULL,NULL,1,"Finished"
64,237,14,"6","6",6,"1",52,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
35,237,2,"7","7",7,"0",52,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
50,237,15,"8","8",8,"0",52,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
65,237,12,"9","9",9,"0",51,NULL,NULL,NULL,NULL,NULL,5,"Mechanical"
79,237,16,"10","10",10,"0",51,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
57,231,6,"5","5",5,"2",68,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
84,231,9,"6","6",6,"1",68,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
65,231,15,"7","7",7,"0",68,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
20,31,1,"1","1",1,"10",53,"53","14","5207494","01:30.5","230.414",1,"Finished"
5,31,2,"2","2",2,"8",53,"53","13","5220006","01:30.3","230.95",1,"Finished"
9,31,11,"3","3",3,"6",53,"52","12","5227965","01:30.3","230.955",1,"Finished"
4,31,8,"4","4",4,"5",53,"51","9","5231397","01:30.0","231.82",1,"Finished"
2,31,10,"5","5",5,"4",53,"53","6","5235242","01:29.8","232.217",1,"Finished"
13,31,6,"6","6",6,"3",53,"52","4","5236310","01:29.7","232.505",1,"Finished"
1,31,15,"7","7",7,"2",53,"52","5","5237406","01:29.7","232.44",1,"Finished"
17,31,3,"8","8",8,"1",53,"52","3","5239542","01:29.7","232.544",1,"Finished"
8,31,14,"9","9",9,"0",53,"53","1","5246962","01:28.0","236.859",1,"Finished"
12,31,17,"10","10",10,"0",53,"53","16","5261939","01:30.9","229.38",1,"Finished"
10,31,9,"11","11",11,"0",53,"53","8","5266382","01:29.9","231.853",1,"Finished"
6,31,18,"12","12",12,"0",53,"53","11","5269509","01:30.2","231.167",1,"Finished"
